directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_18,23.74,176.0,2.099999999999998
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_116,23.08,420.0,2.09
results,performance_20251224_075315_model_schedules_m_r_r_test.json,combination_7,21.14,851.0,combination_6,23.21,897.0,2.0700000000000003
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_1,22.9,369.0,2.039999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_50,23.67,151.0,2.030000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_165,23.65,248.0,2.009999999999998
results,performance_20251224_073543_model_schedules_m_r_r_s_s_x3.json,combination_23,23.32,356.0,combination_17,25.31,461.0,1.9899999999999984
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_27,23.63,195.0,1.9899999999999984
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_103,23.61,274.0,1.9699999999999989
results,performance_20251224_053655_model_schedules_g_m_r_r_s_t_x2.json,combination_9,21.48,255.0,combination_42,23.44,386.0,1.9600000000000009
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_223,23.6,138.0,1.9600000000000009
results,performance_20251224_085814_model_schedules_m_r_r.json,combination_6,20.04,715.0,combination_2,21.99,757.0,1.9499999999999993
results,performance_20251224_065347_model_schedules_g_m_r_t_x3.json,combination_13,24.39,563.0,combination_5,26.33,706.0,1.9399999999999977
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_86,23.58,232.0,1.9399999999999977
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_158,23.57,220.0,1.9299999999999997
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_107,23.76,270.0,1.9200000000000017
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_122,23.56,162.0,1.9199999999999982
results,performance_20251224_084037_model_schedules_m_r_r_v_y_x3.json,combination_13,15.19,591.0,combination_5,17.1,771.0,1.910000000000002
results,performance_20251224_084037_model_schedules_m_r_r_v_y_x3.json,combination_13,15.19,591.0,combination_3,17.09,710.0,1.9000000000000004
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_21,17.15,682.0,1.8999999999999986
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_240,23.53,237.0,1.8900000000000006
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_50,24.22,237.0,1.8900000000000006
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_93,24.22,272.0,1.8900000000000006
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_267,22.88,242.0,1.8900000000000006
results,performance_20251224_070427_model_schedules_g_m_t_x3.json,combination_7,31.19,508.0,combination_1,33.08,554.0,1.889999999999997
results,performance_20251224_082636_model_schedules_m_r_r_v_y_test.json,combination_1,17.02,478.0,combination_8,18.9,568.0,1.879999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_111,23.52,195.0,1.879999999999999
results,performance_20251224_052259_model_schedules_g_m_r_r_s_t_test.json,combination_40,21.74,283.0,combination_25,23.61,314.0,1.870000000000001
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_5,22.85,321.0,1.860000000000003
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_100,23.7,237.0,1.8599999999999994
results,performance_20251224_073543_model_schedules_m_r_r_s_s_x3.json,combination_23,23.32,356.0,combination_15,25.18,383.0,1.8599999999999994
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_4,23.5,224.0,1.8599999999999994
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_52,23.5,189.0,1.8599999999999994
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_222,22.84,283.0,1.8500000000000014
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_24,17.01,573.0,1.8400000000000016
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_120,23.68,229.0,1.8399999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_181,23.47,170.0,1.8299999999999983
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_4,17.07,804.0,1.8200000000000003
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_16,22.26,560.0,1.8200000000000003
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_101,23.45,173.0,1.8099999999999987
results,performance_20251224_090334_model_schedules_m_r_t_y_x3.json,combination_12,16.31,697.0,combination_3,18.11,733.0,1.8000000000000007
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_162,23.43,232.0,1.7899999999999991
results,performance_20251224_070239_model_schedules_g_m_t_x2.json,combination_7,30.72,525.0,combination_3,32.51,552.0,1.7899999999999991
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_68,23.42,202.0,1.7800000000000011
results,performance_20251224_085814_model_schedules_m_r_r.json,combination_6,20.04,715.0,combination_7,21.82,795.0,1.7800000000000011
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_31,16.95,557.0,1.7799999999999994
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_77,23.41,146.0,1.7699999999999996
results,performance_20251224_072843_model_schedules_m_r_r_s_s_x2.json,combination_18,22.47,346.0,combination_7,24.23,357.0,1.7600000000000016
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_2,17.01,863.0,1.7600000000000016
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_61,23.4,266.0,1.759999999999998
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_34,23.39,257.0,1.75
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_102,23.58,266.0,1.7399999999999984
results,performance_20251224_070051_model_schedules_g_m_t_test.json,combination_2,30.59,142.0,combination_1,32.33,159.0,1.7399999999999984
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_67,23.38,161.0,1.7399999999999984
results,performance_20251224_053655_model_schedules_g_m_r_r_s_t_x2.json,combination_9,21.48,255.0,combination_33,23.21,437.0,1.7300000000000004
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_110,23.37,237.0,1.7300000000000004
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_237,23.37,169.0,1.7300000000000004
results,performance_20251224_090706_model_schedules_m_r_t_y.json,combination_16,16.73,667.0,combination_6,18.45,709.0,1.7199999999999989
results,performance_20251224_090334_model_schedules_m_r_t_y_x3.json,combination_12,16.31,697.0,combination_2,18.01,917.0,1.7000000000000028
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_200,23.33,274.0,1.6899999999999977
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_66,23.51,230.0,1.6700000000000017
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_87,23.31,169.0,1.6699999999999982
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_24,23.3,162.0,1.6600000000000001
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_21,23.99,212.0,1.6600000000000001
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_28,16.83,575.0,1.6599999999999984
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_18,23.48,296.0,1.6400000000000006
