cell,repeat,log_or_stream_id,sap,sap_small,sap_medium,sap_large,offline_map,infer_ms_mean,skip_pct,model_sha,run_timestamp,notes
fp32_ft,1,23,0.2108,0.0764,0.2284,0.5322,0.3583,7.91,0.0,4c4b342a6d09de67,1781335482,
fp32_ft,2,0,0.087,0.0378,0.1643,0.4165,0.1043,7.8,0.0,4c4b342a6d09de67,1781335490,
fp32_ft,2,1,0.1119,0.0234,0.1305,0.3521,0.1466,7.65,0.0,4c4b342a6d09de67,1781335498,
fp32_ft,2,2,0.1213,0.0439,0.1666,0.475,0.1474,8.19,0.0,4c4b342a6d09de67,1781335503,
fp32_ft,2,3,0.3164,0.0783,0.381,0.393,0.475,8.06,0.0,4c4b342a6d09de67,1781335509,
fp32_ft,2,4,0.1494,0.0189,0.1376,0.2903,0.1494,8.15,0.0,4c4b342a6d09de67,1781335515,
fp32_ft,2,5,0.3329,0.0563,0.256,0.4348,0.3524,8.13,0.0,4c4b342a6d09de67,1781335519,
fp32_ft,2,6,0.1527,0.0298,0.1383,0.4657,0.2079,7.8,0.0,4c4b342a6d09de67,1781335524,
fp32_ft,2,7,0.2559,0.0099,0.2267,0.4077,0.2992,7.89,0.0,4c4b342a6d09de67,1781335528,
fp32_ft,2,8,0.14,0.0811,0.195,0.3833,0.1643,8.34,0.0,4c4b342a6d09de67,1781335537,
fp32_ft,2,9,0.2046,0.0159,0.2245,0.3615,0.2429,8.22,0.0,4c4b342a6d09de67,1781335544,
fp32_ft,2,10,0.1442,0.0373,0.1551,0.2809,0.1981,7.81,0.0,4c4b342a6d09de67,1781335548,
fp32_ft,2,11,0.2112,0.0119,0.1908,0.4878,0.2253,8.16,0.0,4c4b342a6d09de67,1781335558,
fp32_ft,2,12,0.4315,0.0922,0.4643,0.7247,0.4353,8.05,0.0,4c4b342a6d09de67,1781335562,
fp32_ft,2,13,0.2365,0.0461,0.3062,0.3757,0.2731,7.66,0.0,4c4b342a6d09de67,1781335571,
fp32_ft,2,14,0.3509,0.1523,0.3732,0.4482,0.3704,7.43,0.0,4c4b342a6d09de67,1781335579,
fp32_ft,2,15,0.1189,0.0415,0.1476,0.3148,0.1905,7.7,0.0,4c4b342a6d09de67,1781335586,
fp32_ft,2,16,0.3395,0.0215,0.6486,0.6196,0.3702,8.0,0.0,4c4b342a6d09de67,1781335591,
fp32_ft,2,17,0.2754,0.0316,0.2733,0.7323,0.3013,7.98,0.0,4c4b342a6d09de67,1781335595,
fp32_ft,2,18,0.208,0.0336,0.1087,0.761,0.223,7.6,0.0,4c4b342a6d09de67,1781335603,
fp32_ft,2,19,0.1911,0.0643,0.1941,0.4119,0.3036,7.83,0.0,4c4b342a6d09de67,1781335608,
fp32_ft,2,20,0.1428,0.027,0.1629,0.3215,0.2264,7.8,0.0,4c4b342a6d09de67,1781335613,
fp32_ft,2,21,0.2356,0.0802,0.0809,0.3754,0.4358,7.89,0.0,4c4b342a6d09de67,1781335618,
fp32_ft,2,22,0.2748,0.0523,0.34,0.5746,0.2785,8.18,0.0,4c4b342a6d09de67,1781335624,
fp32_ft,2,23,0.2108,0.0764,0.2284,0.5322,0.3583,7.89,0.0,4c4b342a6d09de67,1781335628,
int8_coco_local,0,0,0.0601,0.0125,0.1084,0.4353,0.0743,9.85,0.0,f987aca54e64c363,1781335638,
int8_coco_local,0,1,0.0636,0.0017,0.0673,0.2196,0.0895,9.58,0.0,f987aca54e64c363,1781335648,
int8_coco_local,0,2,0.1117,0.0125,0.1477,0.5707,0.1371,10.33,0.0,f987aca54e64c363,1781335654,
int8_coco_local,0,3,0.1295,0.001,0.1788,0.3503,0.3022,10.1,0.0,f987aca54e64c363,1781335659,
int8_coco_local,0,4,0.2195,0.0,0.0924,0.5414,0.2195,10.11,0.0,f987aca54e64c363,1781335667,
