bg_level,n_streams,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
L1,5,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1304,0.0781,0.001921,0.2142,0.1329,31.21,187.8,2,23.5,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,20.59,0.0,GPU,22,0.2012,0.0013,0.1912,0.61,0.1927,36.48,54.5,GPU,13,0.1582,0.0094,0.0927,0.3624,0.2097,27.45,27.1,GPU,3,0.1055,0.0025,0.2032,0.2401,0.2908,35.87,52.7,GPU,21,0.0781,0.0084,0.0169,0.207,0.2451,35.68,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1243,0.077,0.001876,0.2111,0.1268,31.57,190.8,2,23.0,GPU,2,0.094,0.0141,0.1105,0.4282,0.1268,36.73,53.9,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.58,0.0,GPU,13,0.1587,0.0087,0.0973,0.3635,0.21,27.06,26.3,GPU,3,0.1007,0.0025,0.2028,0.1927,0.2767,36.33,52.6,GPU,21,0.077,0.0086,0.0144,0.2029,0.2423,37.14,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1289,0.0739,0.002591,0.2077,0.1219,35.96,270.1,1,17.6,GPU,2,0.0913,0.013,0.1015,0.4304,0.1219,40.12,68.1,GPU,22,0.1934,0.0014,0.1893,0.5887,0.1789,39.91,65.8,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,19.66,0.0,GPU,3,0.0984,0.0018,0.188,0.1811,0.2799,40.08,65.6,GPU,21,0.0739,0.0081,0.0141,0.1939,0.2367,40.06,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1297,0.0753,0.00194,0.2108,0.1286,31.33,185.1,2,22.9,GPU,2,0.0947,0.0146,0.114,0.434,0.1286,36.29,52.8,GPU,22,0.197,0.0013,0.1893,0.6024,0.1916,36.5,53.6,GPU,13,0.1601,0.0088,0.095,0.3654,0.2088,26.9,25.8,NPU,3,0.1213,0.0005,0.1816,0.3388,0.2899,20.27,0.2,GPU,21,0.0753,0.0091,0.0144,0.201,0.2351,36.69,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1313,0.0836,0.002025,0.2161,0.1345,30.14,171.2,4,22.9,GPU,2,0.0972,0.0146,0.1181,0.4334,0.1345,34.43,47.6,GPU,22,0.2011,0.0015,0.1893,0.6123,0.1993,35.18,51.1,GPU,13,0.1669,0.0092,0.0993,0.3714,0.2195,26.36,23.8,GPU,3,0.1079,0.0022,0.2066,0.2758,0.3003,34.51,48.6,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,20.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.134,0.0831,0.001677,0.2286,0.1329,25.85,90.4,5,22.0,NPU,2,0.109,0.0113,0.1426,0.5658,0.1329,20.95,0.5,NPU,22,0.1912,0.001,0.1733,0.6139,0.1996,21.09,0.4,GPU,13,0.1727,0.009,0.1007,0.3788,0.2333,24.98,17.5,GPU,3,0.1142,0.0025,0.2214,0.2325,0.3088,31.25,36.1,GPU,21,0.0831,0.0099,0.0183,0.2177,0.2683,30.96,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1367,0.0803,0.002317,0.2224,0.1329,28.59,141.0,5,17.5,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,20.98,0.0,GPU,22,0.2009,0.0014,0.1904,0.6106,0.2015,34.0,45.8,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,19.51,0.0,GPU,3,0.1061,0.0023,0.2063,0.2193,0.2965,34.3,46.4,GPU,21,0.0803,0.0092,0.016,0.2129,0.2602,34.15,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1374,0.0834,0.001876,0.2257,0.1329,25.61,87.9,5,22.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,20.47,0.0,GPU,22,0.2037,0.0015,0.1914,0.62,0.2082,31.22,36.4,GPU,13,0.1693,0.009,0.1015,0.3759,0.2309,24.95,16.8,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,20.32,0.0,GPU,21,0.0834,0.0097,0.0175,0.221,0.2668,31.11,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1363,0.0836,0.002024,0.223,0.1329,24.85,75.9,5,21.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,20.57,0.0,GPU,22,0.2051,0.0015,0.1917,0.6255,0.2106,29.87,30.8,GPU,13,0.1718,0.0089,0.1016,0.3805,0.2269,24.05,15.0,GPU,3,0.112,0.0026,0.225,0.2267,0.3175,29.76,30.1,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,20.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1389,0.091,0.001794,0.2343,0.1461,26.41,99.2,5,17.2,GPU,2,0.1028,0.0145,0.131,0.465,0.1461,30.96,34.3,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.84,0.0,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,19.13,0.0,GPU,3,0.1222,0.0032,0.2223,0.2631,0.3238,30.59,32.2,GPU,21,0.091,0.0096,0.0236,0.2304,0.281,30.53,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
