device,rep,sid,sap_s,sap_m,sap_l,skip,lat
NPU,2,17,0.0103999437805369,0.1752332420030411,0.6535289992462464,0.0,10.216815819901027
GPU,2,18,0.014427762844565853,0.090563286424314,0.7277899598266458,0.0,7.737068303280117
NPU,2,18,0.005930530146360876,0.07639784647049198,0.67986902519637,0.0,9.632813533603393
GPU,2,19,0.013278932488096772,0.09591139856727735,0.3737602836923569,0.0,7.83581525907604
NPU,2,19,0.01128984089140142,0.08339322834022751,0.360325966371977,0.0,9.849821208813868
GPU,2,20,0.009159851635039762,0.06897480565729178,0.2831213276146871,0.0,7.882760163048677
NPU,2,20,0.006859135144315109,0.06643235394697986,0.2660309840784743,0.0,9.918564272904451
GPU,2,21,0.005158668128011215,0.045466346670645946,0.23956529254471734,0.0,8.129314300954206
NPU,2,21,0.001588971397139714,0.02954700008497575,0.2121675500852824,0.0,9.969788423160214
GPU,2,22,0.0006388017990725737,0.17959902507939535,0.7260446074438339,0.0,8.387521679481763
NPU,2,22,0.0020675276160960674,0.15594536265282669,0.7251020668584376,0.0,10.790981871358465
GPU,2,23,0.02132384841831879,0.1484643339364253,0.49456486050703036,0.0,8.457866947302657
NPU,2,23,0.01845801750919583,0.12533277904531484,0.45570647590739405,0.0,10.070065701945444
