detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,a1,0,17,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.2009,0.3493,0.0191,0.1961,0.548,0.1956,0.0192,0.1945,0.5104,51.565,51.8041,95.2899,15.8593
yolo11m,20.1,a1,0,18,GPU,,,,L0,0.2208,0.2729,0.0263,0.116,0.7849,0.2468,0.0303,0.1756,0.8773,10.1694,10.1872,0.0,9.1925
yolo11m,20.1,a1,0,18,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1692,0.238,0.0096,0.0663,0.6174,0.1548,0.0117,0.1084,0.579,49.5108,49.4993,89.4097,30.0138
yolo11m,20.1,a1,0,19,GPU,,,,L0,0.1432,0.2481,0.0239,0.1591,0.4082,0.2286,0.037,0.3297,0.6717,10.2748,10.2857,0.0,4.8005
yolo11m,20.1,a1,0,19,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0721,0.1512,0.0111,0.0619,0.1963,0.1143,0.0146,0.1481,0.387,52.7438,52.5547,94.3609,15.5631
yolo11m,20.1,a1,0,20,GPU,,,,L0,0.1241,0.2076,0.0138,0.1045,0.3727,0.194,0.0153,0.2361,0.6421,10.1267,10.1534,0.0,4.7693
yolo11m,20.1,a1,0,20,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0761,0.1435,0.0123,0.0682,0.1849,0.1173,0.0096,0.1338,0.3623,50.7612,51.2803,91.6364,15.6482
yolo11m,20.1,a1,0,21,GPU,,,,L0,0.1322,0.3232,0.0173,0.0754,0.2754,0.3346,0.0203,0.3816,0.55,10.2759,10.2824,0.0,4.8297
yolo11m,20.1,a1,0,21,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0579,0.1367,0.0015,0.0299,0.1649,0.1807,0.0035,0.2159,0.3217,50.7645,50.2993,92.8826,15.6502
yolo11m,20.1,a1,0,22,GPU,,,,L0,0.2984,0.4461,0.0107,0.2758,0.693,0.3109,0.0113,0.278,0.7372,10.569,10.5839,0.0,5.0346
yolo11m,20.1,a1,0,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.2368,0.4055,0.0103,0.2236,0.5708,0.1806,0.0076,0.1497,0.4583,51.4036,51.41,90.6475,15.8416
yolo11m,20.1,a1,0,23,GPU,,,,L0,0.1849,0.3605,0.0506,0.2117,0.4998,0.3309,0.0771,0.4774,0.6989,10.2178,10.24,0.0,4.8717
yolo11m,20.1,a1,0,23,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0891,0.2,0.0311,0.0928,0.2577,0.1837,0.0447,0.2547,0.4216,53.1583,53.3863,95.8955,15.9162
yolo11l,25.3,a1,0,0,GPU,,,,L0,0.1012,0.1828,0.026,0.1954,0.5568,0.1302,0.034,0.241,0.69,12.0075,12.0029,0.0,10.8287
yolo11l,25.3,a1,0,0,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.0391,0.0952,0.0073,0.0728,0.2837,0.0679,0.019,0.1403,0.3933,54.3439,54.4343,95.977,30.0609
yolo11l,25.3,a1,0,1,GPU,,,,L0,0.1071,0.2087,0.0111,0.1205,0.3462,0.1548,0.0116,0.1712,0.5683,11.701,11.7047,0.0,10.5601
