sid,log_id,device,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,0.1172,0.2263,0.0196,0.1353,0.3795,0.1787,0.0246,0.2084,0.6261,8.2391,8.2632,0.0,7.3597
15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,NPU,0.1085,0.1966,0.0092,0.1121,0.3863,0.1654,0.0107,0.1845,0.6219,9.519,9.5195,0.0,8.4793
16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,CPU,0.243,0.3727,0.0078,0.6409,0.4851,0.2698,0.0086,0.6374,0.6,30.3752,30.4137,4.1002,14.2792
16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,0.246,0.3781,0.0077,0.643,0.492,0.2698,0.0086,0.6372,0.6,8.4826,8.5025,0.0,3.995
16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,NPU,0.3591,0.495,0.0051,0.4956,0.6831,0.3906,0.0045,0.5253,0.7919,9.9041,9.9397,0.0,4.6703
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,CPU,0.2467,0.3809,0.0213,0.2494,0.6246,0.2759,0.0215,0.2773,0.7001,30.6276,30.6852,2.7088,14.5293
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,0.2481,0.3782,0.0213,0.2504,0.6281,0.277,0.0216,0.2789,0.7011,8.4704,8.4832,0.0,4.0368
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,NPU,0.2077,0.3161,0.0104,0.1878,0.6044,0.233,0.0112,0.2117,0.6666,10.0188,10.0479,0.0,4.7816
18,cd5bb988-092e-396c-8f33-e30969c98535,CPU,0.203,0.2543,0.018,0.097,0.7538,0.2208,0.0201,0.1206,0.8397,29.9963,30.0108,1.6073,27.0687
18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.0201,0.1206,0.8401,8.1439,8.1602,0.0,7.3661
18,cd5bb988-092e-396c-8f33-e30969c98535,NPU,0.1833,0.2297,0.0073,0.0859,0.721,0.2005,0.008,0.1141,0.8011,9.4976,9.512,0.0,8.586
19,cd64733a-dd8a-3bdf-b46a-b7144226168a,CPU,0.1204,0.2045,0.0127,0.1222,0.372,0.1831,0.0182,0.2346,0.6045,30.2041,30.2225,2.5229,14.0991
19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,0.1208,0.2035,0.0127,0.1223,0.3753,0.1831,0.0182,0.2346,0.6045,8.3644,8.3806,0.0,3.9128
19,cd64733a-dd8a-3bdf-b46a-b7144226168a,NPU,0.1055,0.1667,0.0082,0.0882,0.3777,0.1478,0.0096,0.1616,0.5767,9.531,9.5443,0.0,4.4556
20,da734d26-8229-383f-b685-8086e58d1e05,CPU,0.1056,0.1774,0.0084,0.0791,0.3138,0.1606,0.0091,0.1798,0.5287,29.9116,29.9268,0.6834,14.0508
20,da734d26-8229-383f-b685-8086e58d1e05,GPU,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.0091,0.1798,0.5289,8.2852,8.2987,0.0,3.8993
20,da734d26-8229-383f-b685-8086e58d1e05,NPU,0.1047,0.174,0.0076,0.0698,0.3161,0.1515,0.0073,0.1547,0.4704,9.8612,9.8431,0.0,4.6252
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,CPU,0.1148,0.2924,0.01,0.0467,0.2605,0.2864,0.0117,0.2904,0.5051,30.4683,30.4914,2.5057,14.3156
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.0117,0.2904,0.5051,8.4489,8.4638,0.0,3.9768
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,NPU,0.0836,0.1997,0.0014,0.0244,0.2127,0.2268,0.0016,0.2486,0.3958,9.7964,9.8095,0.0,4.6091
22,f1008c18-e76e-3c24-adcc-da9858fac145,CPU,0.2107,0.3651,0.0015,0.1922,0.6456,0.219,0.0023,0.1946,0.682,30.4028,30.4146,3.5955,14.4621
22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,8.7636,8.7788,0.0,4.1773
22,f1008c18-e76e-3c24-adcc-da9858fac145,NPU,0.1912,0.3412,0.001,0.1733,0.614,0.1996,0.0024,0.1751,0.6538,10.3614,10.3614,0.0,4.9302
23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,CPU,0.1539,0.3034,0.0345,0.1667,0.478,0.2616,0.0491,0.3623,0.6671,30.4138,30.4124,2.2472,14.4613
23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.0491,0.3623,0.6662,8.3761,8.3901,0.0,3.9927
23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,NPU,0.1438,0.2662,0.0267,0.147,0.4757,0.2307,0.0349,0.3114,0.6354,10.0423,10.0078,0.0,4.7624
