detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8n,3.2,ladder,16,GPU,L1_heavy,0.1312,0.2264,0.0034,0.1428,0.3877,0.1499,0.0041,0.1471,0.4878,18.9762,18.8722,0.4556,8.8603
yolov8n,3.2,ladder,16,GPU,L2_lm,0.1232,0.2235,0.0034,0.1397,0.3601,0.1499,0.0041,0.1471,0.4878,27.7144,27.7252,16.4009,13.0195
yolov8n,3.2,ladder,16,GPU,L3_vlm,0.0136,0.0625,0.0007,0.0151,0.0354,0.0217,0.0012,0.0171,0.0524,318.512,361.5952,100.0,15.9117
yolov8n,3.2,ladder,17,GPU,L1_light,0.1767,0.2785,0.0125,0.1568,0.48,0.1992,0.0129,0.1769,0.5393,17.9506,17.9422,0.2247,8.5314
yolov8n,3.2,ladder,17,GPU,L1_heavy,0.1768,0.2786,0.0125,0.1563,0.4802,0.1992,0.0129,0.1769,0.5393,18.9207,18.9401,0.2247,9.0061
yolov8n,3.2,ladder,17,GPU,L2_lm,0.1694,0.2789,0.0126,0.1502,0.459,0.1992,0.0129,0.1769,0.5393,28.298,28.4447,17.9775,13.5283
yolov8n,3.2,ladder,17,GPU,L3_vlm,0.0199,0.0642,0.0045,0.0272,0.0478,0.023,0.0034,0.0225,0.0564,305.9969,326.0167,94.7368,15.9766
yolov8n,3.2,ladder,18,GPU,L1_light,0.1041,0.1415,0.0059,0.0747,0.4809,0.1169,0.0066,0.0886,0.5554,17.4899,17.5189,0.0,15.8013
yolov8n,3.2,ladder,18,GPU,L1_heavy,0.1041,0.1415,0.0059,0.0747,0.4802,0.1169,0.0066,0.0886,0.5554,18.402,18.4313,0.2296,16.6259
yolov8n,3.2,ladder,18,GPU,L2_lm,0.1017,0.1413,0.0058,0.073,0.4682,0.1167,0.0066,0.0886,0.5545,26.8974,27.0107,12.2989,24.3512
yolov8n,3.2,ladder,18,GPU,L3_vlm,0.0313,0.0632,0.0021,0.0084,0.1001,0.0156,0.0014,0.0124,0.0634,355.8683,371.4323,98.0392,30.0888
yolov8n,3.2,ladder,19,GPU,L1_light,0.0969,0.1576,0.0084,0.076,0.3377,0.135,0.0086,0.1397,0.5313,17.3255,17.3357,0.0,8.0872
yolov8n,3.2,ladder,19,GPU,L1_heavy,0.0967,0.1574,0.0084,0.076,0.337,0.135,0.0086,0.1397,0.5313,18.59,18.591,0.4587,8.673
yolov8n,3.2,ladder,19,GPU,L2_lm,0.0907,0.1511,0.0082,0.0685,0.3151,0.1348,0.0086,0.1395,0.5313,28.2083,28.2575,18.3908,13.1496
yolov8n,3.2,ladder,19,GPU,L3_vlm,0.0134,0.0293,0.0012,0.004,0.0414,0.0168,0.0015,0.0144,0.0416,361.0495,379.5658,100.0,15.5636
yolov8n,3.2,ladder,20,GPU,L1_light,0.0775,0.138,0.0036,0.0426,0.2611,0.1143,0.0037,0.1015,0.4005,17.6527,17.6175,0.0,8.2717
yolov8n,3.2,ladder,20,GPU,L1_heavy,0.0775,0.138,0.0036,0.0426,0.2611,0.1143,0.0037,0.1015,0.4005,18.4706,18.3366,0.0,8.609
yolov8n,3.2,ladder,20,GPU,L2_lm,0.0742,0.1316,0.0036,0.0414,0.2405,0.1142,0.0037,0.1012,0.3997,27.5546,27.761,13.73,12.9814
yolov8n,3.2,ladder,20,GPU,L3_vlm,0.0082,0.0276,0.0004,0.0089,0.0167,0.0139,0.0012,0.0125,0.0474,376.5711,345.2314,100.0,15.8822
yolov8n,3.2,ladder,21,GPU,L1_light,0.0765,0.1947,0.0035,0.025,0.1913,0.1877,0.004,0.1905,0.3559,16.9937,16.9772,0.0,7.9709
yolov8n,3.2,ladder,21,GPU,L1_heavy,0.0764,0.1947,0.0035,0.025,0.1912,0.1877,0.004,0.1905,0.3559,18.8154,18.8961,0.4556,8.8721
yolov8n,3.2,ladder,21,GPU,L2_lm,0.0716,0.1809,0.0035,0.0234,0.1803,0.1877,0.004,0.1905,0.3559,27.8183,27.8611,15.7175,13.0836
yolov8n,3.2,ladder,21,GPU,L3_vlm,0.0085,0.0284,0.0012,0.0005,0.027,0.0185,0.001,0.0166,0.0452,434.0543,378.4877,100.0,15.8979
yolov8n,3.2,ladder,22,GPU,L1_light,0.1893,0.3536,0.0002,0.1328,0.6413,0.198,0.0003,0.1338,0.6742,17.6899,17.7013,0.0,8.4169
yolov8n,3.2,ladder,22,GPU,L1_heavy,0.1892,0.3536,0.0002,0.1329,0.6412,0.198,0.0003,0.1338,0.6742,19.7378,19.7377,0.8989,9.3855
yolov8n,3.2,ladder,22,GPU,L2_lm,0.186,0.3534,0.0002,0.1335,0.6271,0.198,0.0003,0.1338,0.6742,28.4786,28.6849,19.3258,13.6421
yolov8n,3.2,ladder,22,GPU,L3_vlm,0.1094,0.1968,0.0001,0.1191,0.2873,0.0213,0.0002,0.0151,0.0657,372.3764,354.6949,100.0,15.9628
yolov8n,3.2,ladder,23,GPU,L1_light,0.0944,0.1945,0.0126,0.0886,0.3959,0.1563,0.016,0.2025,0.5302,17.1819,17.1658,0.0,8.1629
yolov8n,3.2,ladder,23,GPU,L1_heavy,0.0944,0.1945,0.0126,0.0886,0.3959,0.1563,0.016,0.2025,0.5302,18.4168,18.4464,0.0,8.7717
yolov8n,3.2,ladder,23,GPU,L2_lm,0.0875,0.1842,0.012,0.0786,0.3777,0.1563,0.016,0.2025,0.5302,27.5667,27.6548,14.6067,13.152
yolov8n,3.2,ladder,23,GPU,L3_vlm,0.0024,0.0108,0.0023,0.0025,0.0087,0.0184,0.0036,0.0219,0.0533,296.668,349.8284,100.0,16.0937
