log_id,device,infer_mean_ms,infer_p95_ms,proc_percent,sap_5095,sap_50,sap_small,sap_medium,sap_large,miss_count,frame_count
64724064-6472-6472-6472-764725145600,GPU,8.26,8.58,100.0,0.1028,0.1807,0.0089,0.1529,0.4214,1,890
64724064-6472-6472-6472-764725145600,NPU,10.21,11.0,100.0,0.0726,0.1311,0.0073,0.0793,0.4022,1,890
6db21fda-80cd-3f85-b4a7-0aadeb14724d,CPU,32.15,32.92,100.0,0.1108,0.1714,0.0038,0.1203,0.2311,1,657
6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,8.31,8.64,100.0,0.1123,0.1719,0.0039,0.1245,0.233,1,657
6db21fda-80cd-3f85-b4a7-0aadeb14724d,NPU,9.98,10.63,100.0,0.1473,0.2103,0.0017,0.1243,0.3077,1,657
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,CPU,33.1,41.33,98.5,0.117,0.2316,0.0158,0.101,0.2481,3,466
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,7.84,8.1,100.0,0.1485,0.2653,0.021,0.1394,0.3331,1,466
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,9.73,10.53,100.0,0.1417,0.2453,0.017,0.1429,0.3208,1,466
7d37fc6b-1028-3f6f-b980-adb5fa73021e,CPU,33.87,41.51,97.78,0.2604,0.372,0.0058,0.1404,0.4733,2,901
7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,8.16,8.43,100.0,0.28,0.3883,0.0069,0.187,0.5972,1,901
7d37fc6b-1028-3f6f-b980-adb5fa73021e,NPU,10.27,10.95,100.0,0.2722,0.3674,0.0061,0.1651,0.5897,1,901
85bc130b-97ae-37fb-a129-4fc07c80cca7,CPU,30.33,31.3,100.0,0.4989,0.6467,0.0651,0.498,0.8844,1,469
85bc130b-97ae-37fb-a129-4fc07c80cca7,GPU,8.06,8.3,100.0,0.4992,0.6467,0.0648,0.4979,0.8846,1,469
85bc130b-97ae-37fb-a129-4fc07c80cca7,NPU,10.01,10.66,100.0,0.4505,0.5693,0.0295,0.396,0.8881,1,469
aeb73d7a-8257-3225-972e-99307b3a5cb0,CPU,30.2,31.01,100.0,0.1946,0.2833,0.0099,0.1069,0.4021,2,895
