# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_406,yolo11x,cpu,7.065,0.0453,0.0453,0.0503
gpu,combination_386,mobilenet_v2,gpu,1221.498,0.0768,0.0768,0.0666
gpu,combination_386,resnet50,gpu,235.998,0.3972,0.3972,0.3937
gpu,combination_386,yolo11s,gpu,67.392,0.5726,0.5726,0.5905
gpu,combination_386,yolo11m,gpu,27.159,0.8918,0.8918,0.8981
gpu,combination_386,yolo11l,gpu,20.952,0.9021,0.9021,0.9104
gpu,combination_386,yolo11x,cpu,7.065,0.3991,0.3991,0.3835
gpu,combination_415,mobilenet_v2,gpu,1285.347,0.0585,0.0585,0.0574
gpu,combination_415,resnet50,gpu,314.664,0.2369,0.2369,0.2899
gpu,combination_415,yolo11s,gpu,89.856,0.4399,0.4399,0.4932
gpu,combination_415,yolo11m,gpu,36.212,0.8334,0.8334,0.8536
gpu,combination_415,yolo11l,cpu,13.968,0.1153,0.1153,0.1185
gpu,combination_415,yolo11x,gpu,14.130,0.8917,0.8917,0.9040
gpu,combination_404,mobilenet_v2,gpu,1285.347,0.0752,0.0752,0.0691
gpu,combination_404,resnet50,gpu,314.664,0.3069,0.3069,0.3319
gpu,combination_404,yolo11s,cpu,44.928,0.2858,0.2858,0.3758
gpu,combination_404,yolo11m,gpu,36.212,0.8486,0.8486,0.8602
gpu,combination_404,yolo11l,gpu,27.936,0.8938,0.8938,0.8993
gpu,combination_404,yolo11x,gpu,14.130,0.9257,0.9257,0.9402
gpu,combination_350,mobilenet_v2,gpu,814.332,0.1672,0.1672,0.1500
gpu,combination_350,resnet50,gpu,157.332,0.7471,0.7471,0.6630
gpu,combination_350,yolo11s,gpu,44.928,0.9132,0.9132,0.8366
gpu,combination_350,yolo11m,gpu,18.106,0.9649,0.9649,0.9045
gpu,combination_350,yolo11l,gpu,13.968,0.9744,0.9744,0.9141
gpu,combination_350,yolo11x,gpu,7.065,0.9908,0.9908,0.9455
gpu,combination_356,mobilenet_v2,gpu,814.332,0.1187,0.1187,0.1237
gpu,combination_356,resnet50,gpu,157.332,0.5717,0.5717,0.5200
gpu,combination_356,yolo11s,cpu,44.928,0.4122,0.4122,0.4039
gpu,combination_356,yolo11m,gpu,18.106,0.9223,0.9223,0.9273
gpu,combination_356,yolo11l,gpu,13.968,0.9336,0.9336,0.9356
gpu,combination_356,yolo11x,gpu,7.065,0.9851,0.9851,0.9643
gpu,combination_400,mobilenet_v2,cpu,814.332,0.0323,0.0323,0.0326
gpu,combination_400,resnet50,cpu,157.332,0.0263,0.0263,0.0297
gpu,combination_400,yolo11s,gpu,89.856,0.2555,0.2555,0.3211
gpu,combination_400,yolo11m,cpu,18.106,0.0392,0.0392,0.0429
gpu,combination_400,yolo11l,cpu,13.968,0.0351,0.0351,0.0423
gpu,combination_400,yolo11x,gpu,14.130,0.7905,0.7905,0.7926
gpu,combination_359,mobilenet_v2,gpu,814.332,0.0673,0.0673,0.0729
gpu,combination_359,resnet50,gpu,157.332,0.3347,0.3347,0.3397
gpu,combination_359,yolo11s,cpu,44.928,0.0398,0.0398,0.0437
gpu,combination_359,yolo11m,cpu,18.106,0.0530,0.0530,0.0518
gpu,combination_359,yolo11l,cpu,13.968,0.0487,0.0487,0.0506
gpu,combination_359,yolo11x,gpu,7.065,0.9186,0.9186,0.8558
gpu,combination_352,mobilenet_v2,cpu,814.332,0.0289,0.0289,0.0343
gpu,combination_352,resnet50,cpu,157.332,0.0283,0.0283,0.0261
gpu,combination_352,yolo11s,gpu,44.928,0.4859,0.4859,0.5822
gpu,combination_352,yolo11m,cpu,18.106,0.0409,0.0409,0.0434
gpu,combination_352,yolo11l,cpu,13.968,0.0336,0.0336,0.0407
gpu,combination_352,yolo11x,gpu,7.065,0.8846,0.8846,0.8692
gpu,combination_383,mobilenet_v2,gpu,1221.498,0.0455,0.0455,0.0503
gpu,combination_383,resnet50,gpu,235.998,0.2289,0.2289,0.2566
gpu,combination_383,yolo11s,cpu,44.928,0.0383,0.0383,0.0439
gpu,combination_383,yolo11m,cpu,18.106,0.0508,0.0508,0.0524
gpu,combination_383,yolo11l,cpu,13.968,0.0458,0.0458,0.0508
gpu,combination_383,yolo11x,gpu,10.598,0.8756,0.8756,0.8491
gpu,combination_402,mobilenet_v2,gpu,1285.347,0.0482,0.0482,0.0426
gpu,combination_402,resnet50,gpu,314.664,0.1940,0.1940,0.2122
gpu,combination_402,yolo11s,cpu,44.928,0.0552,0.0552,0.0593
gpu,combination_402,yolo11m,gpu,36.212,0.7613,0.7613,0.7653
gpu,combination_402,yolo11l,cpu,13.968,0.0659,0.0659,0.0757
gpu,combination_402,yolo11x,gpu,14.130,0.8436,0.8436,0.8576
gpu,combination_367,mobilenet_v2,gpu,814.332,0.0981,0.0981,0.0933
gpu,combination_367,resnet50,gpu,157.332,0.4858,0.4858,0.4901
gpu,combination_367,yolo11s,gpu,44.928,0.8422,0.8422,0.8390
gpu,combination_367,yolo11m,gpu,18.106,0.8991,0.8991,0.9088
gpu,combination_367,yolo11l,cpu,13.968,0.1267,0.1267,0.1451
gpu,combination_367,yolo11x,gpu,7.065,0.9498,0.9498,0.9353
gpu,combination_397,mobilenet_v2,cpu,814.332,0.0205,0.0205,0.0256
gpu,combination_397,resnet50,cpu,157.332,0.0186,0.0186,0.0198
gpu,combination_397,yolo11s,cpu,44.928,0.0231,0.0231,0.0254
gpu,combination_397,yolo11m,cpu,18.106,0.0293,0.0293,0.0316
gpu,combination_397,yolo11l,cpu,13.968,0.0272,0.0272,0.0315
gpu,combination_397,yolo11x,cpu,7.065,0.0311,0.0311,0.0397
gpu,combination_370,mobilenet_v2,gpu,814.332,0.0588,0.0588,0.0637
gpu,combination_370,resnet50,cpu,157.332,0.0237,0.0237,0.0260
gpu,combination_370,yolo11s,cpu,44.928,0.0341,0.0341,0.0336
gpu,combination_370,yolo11m,cpu,18.106,0.0409,0.0409,0.0440
gpu,combination_370,yolo11l,cpu,13.968,0.0394,0.0394,0.0422
gpu,combination_370,yolo11x,cpu,7.065,0.0481,0.0481,0.0606
gpu,combination_375,mobilenet_v2,cpu,814.332,0.0231,0.0231,0.0255
gpu,combination_375,resnet50,cpu,157.332,0.0182,0.0182,0.0208
gpu,combination_375,yolo11s,cpu,44.928,0.0231,0.0231,0.0262
gpu,combination_375,yolo11m,cpu,18.106,0.0315,0.0315,0.0319
gpu,combination_375,yolo11l,gpu,20.952,0.7532,0.7532,0.7765
gpu,combination_375,yolo11x,cpu,7.065,0.0396,0.0396,0.0367
gpu,combination_366,mobilenet_v2,cpu,814.332,0.0568,0.0568,0.0531
gpu,combination_366,resnet50,gpu,157.332,0.4164,0.4164,0.3880
gpu,combination_366,yolo11s,cpu,44.928,0.0632,0.0632,0.0635
gpu,combination_366,yolo11m,cpu,18.106,0.0685,0.0685,0.0749
gpu,combination_366,yolo11l,gpu,13.968,0.8627,0.8627,0.8600
gpu,combination_366,yolo11x,gpu,7.065,0.9130,0.9130,0.8660
gpu,combination_420,mobilenet_v2,cpu,814.332,0.0470,0.0470,0.0498
gpu,combination_420,resnet50,cpu,157.332,0.0496,0.0496,0.0471
