# provenance: {"generated_at": "2026-07-29T18:33:47+09:00", "git_commit": "154f11480b290e3425256b0b0b20b74f093fdacc (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P5 capacity greedy", "static_profile": "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/performance_data/sample_profiling_data/sample_profiling_data.json"}
platform,set,rate,variant,greedy_accel,collected,matched_combo,top1,s_norm,oracle_norm,ratio_norm,s_raw,oracle_raw,ratio_raw,cum_load
gpu,S9,3.0,load_factor,"resnet50",1,combination_459,0,-0.0572,0.8727,-0.0656,96.110,399.592,0.2405,0.808
gpu,S9,2.0,speedup,"yolo11m,yolo11n,yolo11s",0,,,,,,,,,0.974
gpu,S9,2.0,load_factor,"resnet50,yolo11n",0,,,,,,,,,0.958
gpu,S9,1.0,speedup,"resnet50,yolo11m,yolo11n,yolo11s",1,combination_434,0,0.7816,1.0000,0.7816,309.762,381.389,0.8122,0.756
gpu,S9,1.0,load_factor,"mobilenet_v2,resnet50",1,combination_424,0,0.0678,1.0000,0.0678,137.204,381.389,0.3597,0.903
gpu,S6,2.0,speedup,"llama1b,qwen2_vl,yolo11m,yolo11s",0,,,,,,,,,0.601
gpu,S6,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",0,,,,,,,,,0.937
gpu,S6,1.5,speedup,"llama1b,qwen2_vl,resnet50,yolo11m,yolo11s",0,,,,,,,,,0.854
gpu,S6,1.5,load_factor,"llama1b,mobilenet_v2,qwen2_vl",1,combination_264,0,0.5805,2.0000,0.2902,129.287,439.039,0.2945,0.985
gpu,S6,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11m,yolo11s",0,,,,,,,,,0.570
gpu,S6,1.0,load_factor,"llama1b,mobilenet_v2,qwen2_vl,resnet50",1,combination_245,0,0.8711,2.0000,0.4356,225.700,424.925,0.5312,0.926
gpu,S5,3.0,speedup,"llama1b,qwen2_vl,yolo11s",1,combination_234,0,0.8534,2.0000,0.4267,195.609,457.199,0.4278,0.598
gpu,S5,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_235,0,0.9408,2.0000,0.4704,216.801,457.199,0.4742,0.876
gpu,S5,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_220,0,1.4368,2.0000,0.7184,356.793,455.816,0.7828,0.937
gpu,S5,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_220,0,1.4368,2.0000,0.7184,356.793,455.816,0.7828,0.937
gpu,S5,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_204,0,1.3814,2.0000,0.6907,321.029,434.019,0.7397,0.469
gpu,S5,1.0,load_factor,"llama1b,mobilenet_v2,qwen2_vl,resnet50",1,combination_207,0,1.0829,2.0000,0.5414,280.111,434.019,0.6454,0.926
gpu,S3,3.0,speedup,"llama1b,yolo11s",1,combination_178,0,1.0018,2.0000,0.5009,187.430,339.239,0.5525,0.533
gpu,S3,3.0,load_factor,"llama1b,resnet50",1,combination_179,0,1.0574,2.0000,0.5287,200.051,339.239,0.5897,0.812
gpu,S4,2.0,speedup,"qwen2_vl,resnet50,yolo11s",1,combination_188,1,2.0000,2.0000,1.0000,285.090,285.090,1.0000,0.935
gpu,S4,2.0,load_factor,"qwen2_vl,resnet50,yolo11s",1,combination_188,1,2.0000,2.0000,1.0000,285.090,285.090,1.0000,0.935
gpu,S3,1.0,speedup,"llama1b,resnet50,yolo11s",1,combination_164,1,1.9761,1.9761,1.0000,254.215,254.215,1.0000,0.447
gpu,S3,1.0,load_factor,"llama1b,resnet50,yolo11s",1,combination_164,1,1.9761,1.9761,1.0000,254.215,254.215,1.0000,0.447
gpu,S2,1.0,speedup,"resnet50,yolo11s",1,combination_136,0,0.7382,1.0000,0.7382,236.507,302.742,0.7812,0.446
gpu,S2,1.0,load_factor,"mobilenet_v2,resnet50",1,combination_139,0,0.4960,1.0000,0.4960,211.376,302.742,0.6982,0.903
gpu,S3,2.0,speedup,"llama1b,resnet50,yolo11s",1,combination_172,1,2.0000,2.0000,1.0000,327.549,327.549,1.0000,0.894
gpu,S3,2.0,load_factor,"llama1b,resnet50,yolo11s",1,combination_172,1,2.0000,2.0000,1.0000,327.549,327.549,1.0000,0.894
gpu,S2,3.0,speedup,"yolo11s",1,combination_150,0,0.0893,1.0000,0.0893,141.390,365.055,0.3873,0.529
gpu,S2,3.0,load_factor,"resnet50",1,combination_151,0,0.1309,1.0000,0.1309,148.692,365.055,0.4073,0.808
gpu,S4,3.0,speedup,"qwen2_vl,yolo11s",1,combination_190,0,0.7797,2.0000,0.3898,160.801,300.409,0.5353,0.594
gpu,S4,3.0,load_factor,"qwen2_vl,resnet50",1,combination_191,0,0.8434,2.0000,0.4217,171.023,300.409,0.5693,0.873
gpu,S1,2.0,speedup,"resnet50,yolo11s",1,combination_124,1,1.0000,1.0000,1.0000,237.655,237.655,1.0000,0.891
gpu,S1,2.0,load_factor,"resnet50,yolo11s",1,combination_124,1,1.0000,1.0000,1.0000,237.655,237.655,1.0000,0.891
gpu,S4,1.0,speedup,"qwen2_vl,resnet50,yolo11s",1,combination_184,1,2.0000,2.0000,1.0000,196.953,196.953,1.0000,0.467
gpu,S4,1.0,load_factor,"qwen2_vl,resnet50,yolo11s",1,combination_184,1,2.0000,2.0000,1.0000,196.953,196.953,1.0000,0.467
gpu,S1,3.0,speedup,"yolo11s",1,combination_126,0,0.2614,1.0000,0.2614,143.362,260.715,0.5499,0.529
gpu,S1,3.0,load_factor,"resnet50",1,combination_127,0,0.2876,1.0000,0.2876,148.334,260.715,0.5690,0.808
gpu,S2,2.0,speedup,"resnet50,yolo11s",1,combination_144,0,0.5574,1.0000,0.5574,274.094,352.319,0.7780,0.891
gpu,S2,2.0,load_factor,"resnet50,yolo11s",1,combination_144,0,0.5574,1.0000,0.5574,274.094,352.319,0.7780,0.891
