# provenance: {"generated_at": "2026-07-29T18:38:28+09:00", "git_commit": "d0e2644025aa868515552f31d7ed11e8c52f694b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P4 unified oof"}
platform,combination,models,rate_factor,y3_valid,has_gen,fold,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,group
gpu,combination_356,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.0,True,True,2,0.7265542834820756,0.2057962529274004,0.9024208009563658,0.7878277897834778,0.15120628476142883,0.8441600203514099,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
gpu,combination_400,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",2.0,True,True,2,0.1963923067733843,0.7310307315746533,0.22139457893647838,0.19764235615730286,0.8843455910682678,0.22682052850723267,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
gpu,combination_359,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.0,True,True,2,0.35268487634844786,0.809718969555035,0.17139868499701136,0.3806915581226349,0.7760809659957886,0.15943248569965363,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
gpu,combination_352,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.0,True,True,2,0.17212055650710653,0.8378220140515222,0.1564554692169755,0.20760521292686462,0.7842441201210022,0.16646051406860352,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
gpu,combination_383,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.5,True,True,0,0.3524254484628251,0.762406015037594,0.20086083213773315,0.3647160530090332,0.7453787922859192,0.22876116633415222,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
gpu,combination_402,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",2.0,True,True,2,0.4955501134870385,0.5558879521348926,0.29277881233188496,0.4482715427875519,0.6501105427742004,0.32977330684661865,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
gpu,combination_367,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.0,True,True,2,0.6579224135340606,0.43969555035128793,0.3076808129109384,0.712170422077179,0.4362454116344452,0.2803032398223877,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
gpu,combination_397,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",2.0,True,True,2,0.06513558714609961,1.0,0.17111524932753983,0.06240134686231613,0.9902681708335876,0.17913173139095306,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
gpu,combination_370,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.0,True,True,2,0.16454821358814864,0.8682669789227165,0.4243873281530185,0.1714371144771576,0.8258768916130066,0.5031198859214783,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
gpu,combination_375,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1.5,True,True,0,0.11357212897271729,0.9664876476906553,0.1592539454806313,0.1164727658033371,0.9267547726631165,0.1609455794095993,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
