# provenance: {"generated_at": "2026-07-30T19:35+09:00 (KST)", "score_basis": "raw measured window totals", "alpha": 0.3, "betas": [1.0, 0.5], "group": "(set, rate)", "tie_rule": "1e-9 tie set; intersecting tie sets = agreement", "generator": "scripts/compare_platforms_v2.py --basis raw", "original_generation": "2026-07-29T18:32:09+09:00, commit 475a2089eb49a1906d663508055d3aeb5d5e2d43", "superseded_by": "platform_divergence.csv (declared_normalized, Eq. 1)"}
beta,set,rate,gpu_best_accel,npu_best_accel,same,gpu_best_score,npu_best_score,gpu_best_combo,npu_best_combo
0.5,S5,3.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,403.674,181.592,combination_240,combination_232
0.5,S6,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,371.295,234.012,combination_242,combination_246
0.5,S6,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,397.189,233.063,combination_258,combination_262
0.5,S6,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,399.543,220.913,combination_274,combination_278
0.5,S7,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,370.446,239.690,combination_290,combination_305
0.5,S7,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,386.677,237.825,combination_310,combination_325
0.5,S7,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,380.424,229.998,combination_330,combination_345
0.5,S9,1.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,381.389,389.564,combination_422,combination_422
0.5,S9,2.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,402.020,444.247,combination_438,combination_438
0.5,S9,3.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,399.582,454.540,combination_454,combination_454
0.5,S8,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1,366.465,206.517,combination_350,combination_350
0.5,S8,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s,yolo11x",0,366.922,181.495,combination_374,combination_391
0.5,S8,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s,yolo11x",0,353.030,167.245,combination_398,combination_415
0.5,S10,1.0,"mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x","mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,373.656,401.916,combination_470,combination_470
0.5,S10,1.5,"mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x","mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,373.778,443.811,combination_494,combination_494
0.5,S10,2.0,"mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x","mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,365.602,437.052,combination_518,combination_518
