directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_66,24.33,335.0,2.5599999999999987
results,performance_20260127_112810_model_schedules_m_r_t_y_x4.json,combination_11,18.03,825.0,combination_14,20.59,883.0,2.5599999999999987
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_70,24.29,328.0,2.5199999999999996
results,performance_20260127_082216_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x2.json,combination_43,26.43,287.0,combination_33,28.93,570.0,2.5
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_14,25.35,425.0,2.4400000000000013
results,performance_20260127_091800_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x2.json,combination_82,23.18,347.0,combination_126,25.61,449.0,2.4299999999999997
results,performance_20260127_073338_model_schedules_g_m_r_t.json,combination_11,26.71,609.0,combination_7,29.1,698.0,2.3900000000000006
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_240,28.08,300.0,2.389999999999997
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_165,24.15,330.0,2.379999999999999
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_479,24.14,558.0,2.370000000000001
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_445,24.12,337.0,2.3500000000000014
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_191,28.03,354.0,2.34
results,performance_20260127_074234_model_schedules_g_m_r.json,combination_7,29.63,684.0,combination_4,31.96,743.0,2.330000000000002
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_39,25.24,597.0,2.3299999999999983
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_127,24.07,435.0,2.3000000000000007
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_484,24.02,333.0,2.25
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_86,24.02,435.0,2.25
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_184,24.01,674.0,2.240000000000002
results,performance_20260127_083612_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.json,combination_17,26.75,270.0,combination_62,28.98,378.0,2.2300000000000004
results,performance_20260127_073338_model_schedules_g_m_r_t.json,combination_11,26.71,609.0,combination_15,28.93,723.0,2.219999999999999
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_143,23.99,398.0,2.219999999999999
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_32,23.89,517.0,2.219999999999999
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_288,23.97,408.0,2.1999999999999993
results,performance_20260127_062710_model_schedules_g_m_resnet50_resnext50_s_t_x4.json,combination_48,25.29,383.0,combination_64,27.47,578.0,2.1799999999999997
results,performance_20260127_040803_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x2.json,combination_105,25.07,264.0,combination_10,27.24,302.0,2.169999999999998
results,performance_20260127_040803_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x2.json,combination_105,25.07,264.0,combination_44,27.23,295.0,2.16
results,performance_20260127_083612_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.json,combination_17,26.75,270.0,combination_3,28.89,313.0,2.1400000000000006
results,performance_20260127_070202_model_schedules_g_m_resnet50_resnext50_t_x3.json,combination_14,24.77,636.0,combination_32,26.9,1045.0,2.129999999999999
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_50,25.04,430.0,2.129999999999999
results,performance_20260127_082216_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x2.json,combination_43,26.43,287.0,combination_48,28.54,299.0,2.1099999999999994
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_376,23.86,414.0,2.09
results,performance_20260127_191853_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v.json,combination_95,28.2,173.0,combination_120,30.28,267.0,2.080000000000002
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_75,23.85,358.0,2.080000000000002
results,performance_20260127_072634_model_schedules_g_m_r_t_x3.json,combination_4,26.47,699.0,combination_7,28.55,845.0,2.080000000000002
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_123,23.48,408.0,2.080000000000002
results,performance_20260127_043551_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.json,combination_94,26.85,291.0,combination_52,28.92,382.0,2.0700000000000003
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_423,23.84,339.0,2.0700000000000003
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_126,23.47,404.0,2.0700000000000003
results,performance_20260127_070902_model_schedules_g_m_resnet50_resnext50_t_x4.json,combination_12,24.59,633.0,combination_16,26.65,693.0,2.0599999999999987
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_255,27.74,252.0,2.049999999999997
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_44,23.44,422.0,2.0400000000000027
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_185,23.8,481.0,2.030000000000001
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_54,23.7,543.0,2.0299999999999976
results,performance_20260127_055918_model_schedules_g_m_resnet50_resnext50_s_t_x2.json,combination_2,24.58,385.0,combination_8,26.6,434.0,2.020000000000003
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_379,23.79,358.0,2.0199999999999996
results,performance_20260127_072634_model_schedules_g_m_r_t_x3.json,combination_4,26.47,699.0,combination_8,28.46,911.0,1.990000000000002
results,performance_20260126_161938_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x2.json,combination_128,29.71,179.0,combination_112,31.7,263.0,1.9899999999999984
results,performance_20260127_082216_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x2.json,combination_43,26.43,287.0,combination_63,28.41,301.0,1.9800000000000004
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_464,23.75,493.0,1.9800000000000004
results,performance_20260127_072302_model_schedules_g_m_r_t_x2.json,combination_12,28.43,655.0,combination_16,30.41,837.0,1.9800000000000004
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_220,27.67,191.0,1.9800000000000004
results,performance_20260127_191853_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v.json,combination_95,28.2,173.0,combination_254,30.16,376.0,1.9600000000000009
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_90,23.36,586.0,1.9600000000000009
results,performance_20260127_083612_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.json,combination_17,26.75,270.0,combination_61,28.7,328.0,1.9499999999999993
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_127,27.64,370.0,1.9499999999999993
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_488,23.71,394.0,1.9400000000000013
results,performance_20260127_050340_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x4.json,combination_13,25.93,266.0,combination_122,27.87,393.0,1.9400000000000013
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_62,24.84,422.0,1.9299999999999997
results,performance_20260127_091800_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x2.json,combination_82,23.18,347.0,combination_1,25.11,376.0,1.9299999999999997
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_63,23.31,392.0,1.9100000000000001
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_168,23.66,523.0,1.8900000000000006
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_79,23.28,441.0,1.8800000000000026
results,performance_20260126_220749_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.json,combination_102,24.55,272.0,combination_255,26.43,333.0,1.879999999999999
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_284,23.63,314.0,1.8599999999999994
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_447,23.63,373.0,1.8599999999999994
results,performance_20260127_065502_model_schedules_g_m_resnet50_resnext50_t_x2.json,combination_19,24.41,640.0,combination_32,26.27,1006.0,1.8599999999999994
results,performance_20260127_072302_model_schedules_g_m_r_t_x2.json,combination_12,28.43,655.0,combination_7,30.29,849.0,1.8599999999999994
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_251,23.6,355.0,1.8300000000000018
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_191,23.59,445.0,1.8200000000000003
results,performance_20260127_050340_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x4.json,combination_13,25.93,266.0,combination_128,27.75,453.0,1.8200000000000003
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_234,27.51,212.0,1.8200000000000003
results,performance_20260127_154526_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x2.json,combination_105,24.79,286.0,combination_511,26.6,549.0,1.8100000000000023
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_235,23.58,462.0,1.8099999999999987
