timestamp,combination,source_file,views.sum.view.throughput_fps,views.sum.view.avg_inference_time_ms,views.sum.view.inference_count,views.sum.view.avg_wait_to_preprocess_ms,views.sum.view.dropped_frames_due_to_full_queue,views.sum.view.exec_cpu,views.sum.view.exec_npu0,views.sum.view.exec_npu1,views.sum.view.static_infer_sel,views.sum.view.static_load_sel,views.sum.x.view_throughput__static_infer_sel,views.sum.x.view_wait__static_load_sel,views.mean.view.throughput_fps,views.mean.view.avg_inference_time_ms,views.mean.view.inference_count,views.mean.view.avg_wait_to_preprocess_ms,views.mean.view.dropped_frames_due_to_full_queue,views.mean.view.exec_cpu,views.mean.view.exec_npu0,views.mean.view.exec_npu1,views.mean.view.static_infer_sel,views.mean.view.static_load_sel,views.mean.x.view_throughput__static_infer_sel,views.mean.x.view_wait__static_load_sel,views.max.view.throughput_fps,views.max.view.avg_inference_time_ms,views.max.view.inference_count,views.max.view.avg_wait_to_preprocess_ms,views.max.view.dropped_frames_due_to_full_queue,views.max.view.exec_cpu,views.max.view.exec_npu0,views.max.view.exec_npu1,views.max.view.static_infer_sel,views.max.view.static_load_sel,views.max.x.view_throughput__static_infer_sel,views.max.x.view_wait__static_load_sel,views.count.views,y1_total_throughput_fps,y2_drop_rate_fps
2025-09-13 11:36:26,combination_13,xgboost_model/performance_data/performance/performance_20250913_113352.json,34.24,556.95,469.0,5251.5,1224.0,1.0,1.0,1.0,310.8,177.60000000000002,2256.6200000000003,123668.454,11.413333333333334,185.65,156.33333333333334,1750.5,408.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,103.60000000000001,59.20000000000001,752.2066666666668,41222.818,20.73,418.76,285.0,4031.89,657.0,1.0,1.0,1.0,196.4,101.4,1111.1280000000002,123668.454,3.0,34.24,40.8
2025-09-13 11:36:57,combination_2,xgboost_model/performance_data/performance/performance_20250913_113352.json,15.72,1177.9,302.0,9318.38,1182.0,2.0,1.0,0.0,315.1,105.2,1028.334,169684.44400000002,5.24,392.6333333333334,100.66666666666667,3106.1266666666666,394.0,0.6666666666666666,0.3333333333333333,0.0,105.03333333333335,35.06666666666667,342.778,56561.48133333334,8.07,901.09,184.0,7705.41,754.0,1.0,1.0,0.0,214.9,105.2,709.3530000000001,169684.44400000002,3.0,15.72,39.4
2025-09-13 11:37:28,combination_3,xgboost_model/performance_data/performance/performance_20250913_113352.json,15.780000000000001,1177.9599999999998,304.0,9844.6,1239.0,2.0,0.0,1.0,324.1,464.7,1070.4,858235.842,5.260000000000001,392.65333333333325,101.33333333333333,3281.5333333333333,413.0,0.6666666666666666,0.0,0.3333333333333333,108.03333333333335,154.9,356.8,286078.614,7.7,904.68,197.0,7997.74,758.0,1.0,0.0,1.0,214.9,464.7,746.1300000000001,858235.842,3.0,15.78,41.3
2025-09-13 11:37:59,combination_4,xgboost_model/performance_data/performance/performance_20250913_113352.json,17.3,1228.21,307.0,9709.949999999999,1291.0,2.0,1.0,0.0,269.5,101.4,881.108,149122.896,5.766666666666667,409.40333333333336,102.33333333333333,3236.6499999999996,430.3333333333333,0.6666666666666666,0.3333333333333333,0.0,89.83333333333333,33.800000000000004,293.70266666666663,49707.632000000005,9.87,970.67,181.0,8239.31,710.0,1.0,1.0,0.0,196.4,101.4,600.0959999999999,149122.896,3.0,17.3,43.0333
2025-09-13 11:38:30,combination_5,xgboost_model/performance_data/performance/performance_20250913_113352.json,25.07,368.05,388.0,3318.17,1011.0,1.0,1.0,1.0,170.0,566.1,1415.7,1056900.87,8.356666666666667,122.68333333333334,129.33333333333334,1106.0566666666666,337.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,56.666666666666664,188.70000000000002,471.90000000000003,352300.29000000004,10.29,139.07,211.0,1983.04,535.0,1.0,1.0,1.0,96.9,464.7,696.7110000000001,921518.688,3.0,25.07,33.7
2025-09-13 11:39:01,combination_6,xgboost_model/performance_data/performance/performance_20250913_113352.json,15.9,1321.3999999999999,271.0,10558.289999999999,1135.0,2.0,0.0,1.0,280.7,427.4,930.551,713219.4759999999,5.3,440.46666666666664,90.33333333333333,3519.43,378.3333333333333,0.6666666666666666,0.0,0.3333333333333333,93.56666666666666,142.46666666666667,310.1836666666667,237739.8253333333,9.32,1035.87,159.0,8889.55,627.0,1.0,0.0,1.0,196.4,427.4,671.04,713219.4759999999,3.0,15.9,37.8333
2025-09-13 11:39:32,combination_7,xgboost_model/performance_data/performance/performance_20250913_113352.json,24.549999999999997,367.52,385.0,3452.31,856.0,1.0,1.0,1.0,172.2,532.6,1406.778,924494.0759999999,8.183333333333332,122.50666666666666,128.33333333333334,1150.77,285.3333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,57.4,177.53333333333333,468.926,308164.692,8.73,129.47,222.0,1742.12,487.0,1.0,1.0,1.0,87.9,427.4,678.588,744582.0879999999,3.0,24.55,28.5333
2025-09-13 11:40:03,combination_8,xgboost_model/performance_data/performance/performance_20250913_113352.json,20.830000000000002,1335.9499999999998,365.0,11904.04,1190.0,2.0,1.0,0.0,450.0,15.0,1328.9520000000002,0.0,6.943333333333334,445.3166666666666,121.66666666666667,3968.013333333334,396.6666666666667,0.6666666666666666,0.3333333333333333,0.0,150.0,5.0,442.9840000000001,0.0,17.7,647.17,278.0,5996.59,610.0,1.0,1.0,0.0,214.9,15.0,684.99,0.0,3.0,20.83,39.6667
2025-09-13 11:40:34,combination_9,xgboost_model/performance_data/performance/performance_20250913_113352.json,28.16,605.8,431.0,5739.91,1140.0,1.0,1.0,1.0,350.5,479.7,1957.8700000000003,778985.904,9.386666666666667,201.9333333333333,143.66666666666666,1913.3033333333333,380.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,116.83333333333333,159.9,652.6233333333334,259661.968,18.07,420.82,281.0,4063.59,704.0,1.0,1.0,1.0,214.9,464.7,747.099,778985.904,3.0,28.16,38.0
2025-09-13 11:41:09,combination_1,xgboost_model/performance_data/performance/performance_20250913_114039.json,8.54,2212.29,244.0,17730.059999999998,1535.0,3.0,0.0,0.0,423.6,0.0,480.511,0.0,2.8466666666666662,737.43,81.33333333333333,5910.0199999999995,511.6666666666667,1.0,0.0,0.0,141.20000000000002,0.0,160.17033333333333,0.0,6.6,1049.04,189.0,9156.89,774.0,1.0,0.0,0.0,214.9,0.0,212.751,0.0,3.0,8.54,51.1667
2025-09-13 11:41:40,combination_10,xgboost_model/performance_data/performance/performance_20250913_114039.json,32.26,523.99,477.0,4922.16,1284.0,1.0,1.0,1.0,307.1,442.4,2029.092,522599.076,10.753333333333332,174.66333333333333,159.0,1640.72,428.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,102.36666666666667,147.46666666666667,676.364,174199.692,18.68,379.09,286.0,3699.42,703.0,1.0,1.0,1.0,196.4,427.4,787.68,522599.076,3.0,32.26,42.8
