size,fp32_score,int8_score
small,0.414288938,0.3916911483
small,0.657382071,0.5548050404
small,0.3589964807,0.4451949298
small,0.6330155134,0.5548050404
small,0.6456411481,0.4451949298
small,0.6050775647,0.5548050404
small,0.6135904789,0.4451949298
small,0.2877869606,0.3406691849
small,0.6109620333,0.3916911483
small,0.2544409335,0.3406691849
small,0.5926861763,0.3916911483
small,0.6652633548,0.5
small,0.6940285563,0.5548050404
small,0.651891768,0.5548050404
small,0.4909520447,0.3406691849
small,0.3217870891,0.2930911481
small,0.6151732206,0.3916911483
small,0.4318974614,0.3916911483
small,0.6183529496,0.5
small,0.3662695885,0.3916911483
small,0.3434460163,0.2930911481
small,0.3732790649,0.3916911483
small,0.3723597825,0.3247798979
small,0.3438257873,0.2737150788
small,0.4373781383,0.3803819418
small,0.419608146,0.3247798979
small,0.4089638591,0.4393097758
small,0.4104945064,0.3247798979
small,0.2632748187,0.2930911481
small,0.2775030136,0.3406691849
small,0.3197564185,0.3406691849
small,0.2654456794,0.3916911483
small,0.3419117033,0.2737150788
small,0.2530725896,0.3247798979
small,0.5306046605,0.3406691849
small,0.4580749869,0.2930911481
small,0.4958644807,0.3406691849
small,0.4546400309,0.2930911481
small,0.3137057126,0.2930911481
small,0.5005531311,0.3406691849
small,0.5018334389,0.3916911483
small,0.3543800414,0.2771843374
small,0.4698350132,0.3406691849
small,0.3196077049,0.2930911481
small,0.3317388892,0.2930911481
small,0.3784559667,0.3406691849
small,0.4030353129,0.3406691849
small,0.2742732465,0.392159313
small,0.2752330303,0.2930911481
small,0.4264946878,0.5548050404
small,0.3482108414,0.4451949298
small,0.4452829063,0.3916911483
small,0.3930723667,0.2930911481
small,0.446945399,0.2930911481
small,0.5358705521,0.3406691849
small,0.4757901132,0.3454769254
small,0.438880533,0.3916911483
small,0.4975984395,0.4451949298
small,0.3143147826,0.3406691849
small,0.408898294,0.2771843374
small,0.4418967068,0.3406691849
small,0.4802546501,0.3406691849
small,0.4946269393,0.3916911483
small,0.6180099249,0.4451949298
small,0.3515162766,0.3406691849
small,0.4907825887,0.5
small,0.5329312682,0.5
small,0.4075546563,0.2930911481
small,0.5755980611,0.4451949298
small,0.3548198342,0.3406691849
small,0.6257485747,0.4451949298
small,0.5661742687,0.3406691849
small,0.4651608765,0.3916911483
small,0.4529983401,0.4451949298
small,0.497859031,0.4451949298
small,0.2682849169,0.3406691849
small,0.5530463457,0.3406691849
small,0.3813649118,0.4451949298
small,0.3531438708,0.3916911483
small,0.342007339,0.2771843374
small,0.3344781995,0.2771843374
small,0.4276011884,0.3454769254
small,0.4755022824,0.3406691849
small,0.2954787016,0.3247798979
small,0.455504626,0.2771843374
small,0.436144948,0.3454769254
small,0.4308581352,0.3454769254
small,0.3617014587,0.2737150788
small,0.4713843465,0.3454769254
small,0.5010771751,0.3454769254
small,0.3893091381,0.2930911481
small,0.4226700962,0.2930911481
small,0.4244849086,0.3916911483
small,0.2973059416,0.2930911481
small,0.4393956661,0.3916911483
small,0.3306854069,0.2930911481
small,0.4187333882,0.3406691849
